5p_gene	3p_gene
MDH1	RP11-357C3.3
GS1-124K5.2	RP11-147C23.1
RP11-83A24.2	KCNQ5
PLA2R1	RBMS1
SHISA5	RP11-24C3.2
UNC5C	STPG2
ZNF37BP	CEP164P1
NRL	DHRS4-AS1
NOM1	MNX1-AS2
OSBPL9	RP11-191G24.1
WARS	DEGS2
HNRNPUL2	AHNAK
CCDC117	CTA-292E10.6
LDLRAD3	PRR5L
CASD1	GNG11
RP11-85K15.2	BAZ1A
TBC1D16	AC012354.6
MANBA	UBE2D3
SMDT1	NDUFA6-AS1
RP11-680G10.1	GSE1
CNPY3	RP3-475N16.1
RBM14	C11orf80
FARS2	RP3-380B8.4
FSD1L	SLC44A1
SIK1	CBS
PKD1P5	DOT1L
EIF4A2	PRPF40A
DHX36	MATN1-AS1
POLR2J3	TRO
TRMT10B	ASNS
FBXL8	PCBP1-AS1
NABP1	INTS10
FOSL2	TOMM70A
TPT1-AS1	FRYL
HNRNPR	KPNA2
LZIC	RAC1
PCNXL2	ODC1
RP11-193F5.4	HMGN2
RPL4	PFDN5
BCL2L2-PABPN1	RPL30
DAP3	CMC4
ANP32B	PTMS
ATP2A2	RBM39
BCL2L11	LCMT1
CLCN6	CRNDE
CPSF6	SKP2
NKTR	MED23
RNGTT	ZC3H13
UQCRC2	RPL37
CTSA	TIAL1
DUSP16	ANAPC11
EXOSC2	UBL5
HIST1H2AC	RP11-200A1.1
IARS	TOX4
LEMD1	RPL30
MAPK9	OGFOD3
PCBD2	NOL10
PCMTD1	POM121C
PNISR	KLHDC1
RAB10	MXI1
SIRPA	VPRBP
TJAP1	PLOD3
TOP2A	GLRX5
ZFR	ZMYM5
COMMD1	RP11-390P2.4
FNDC3B	RBM39
IQGAP1	RPL30
NAA15	PLK1
NEK7	CMC2
RNF145	PLOD2
TOX2	POLR1D
ZNF521	RAB28
AGPAT5	CTD-2541M15.1
ERO1A	FERMT2
CD109	EEF1A1
SUCO	TBX19
ADK	VCL
AC009403.2	POMZP3
RP11-282O18.3	CDK2AP1
CLIP4	FAM179A
MMADHC	EPC2
POM121	VKORC1L1
RP11-123O10.4	GRIP1
RPF1	PRKACB
ST3GAL1	SLA
EIF4H	GPNMB
CTBP2	BUB3
ARSJ	MTHFD2L
ST7	TES
TOP2B	NGLY1
BRD1	RP6-109B7.4
SLC39A11	NSF
ZHX1	MRPL13
ANXA2	NARG2
DNTTIP2	GCLM
FAM208A	PSMD6
GGCT	GARS
GNAO1	RP11-463O9.5
NOP56	SNRPB
TBC1D9B	RNF130
AHI1	PSMB1
RGS5	MTHFD1L
KDM2A	ZNF532
TRIM52	NUP133
AFG3L2	RNPC3
TNFRSF1A	PTMS
BCL11B	PPP2R5C
GBE1	RYBP
NCOA7	CTA-293F17.1
TRAF2	ITPR1
RTFDC1	RP4-799D16.1
ACTR6	DHDDS
ERBB2IP	KTN1
FBXO32	ANXA13
